Zip Code,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop
1026,946,926,3,0,2,0,6,9
1027,17660,16602,177,33,388,4,188,268
1028,15720,14858,222,11,377,0,75,177
1029,789,772,2,1,5,0,0,9
1030,11669,11195,116,17,145,0,71,125
1031,1308,1267,11,7,1,2,7,13
1032,570,555,2,2,2,0,0,9
1033,6227,6008,25,15,69,1,40,69
1034,2021,1954,15,10,6,0,8,28
1035,5250,4799,102,9,213,1,41,85
1036,5109,4938,25,3,70,1,21,51
1037,838,808,9,1,2,0,3,15
1038,2545,2485,10,3,15,0,17,15
1039,1336,1304,5,1,14,0,0,12
1040,39880,26329,1867,301,428,27,9374,1554
1050,2530,2458,10,5,4,2,10,41
1053,1685,1557,47,4,21,1,27,28
1054,1851,1722,22,3,30,0,9,65
1056,21103,19828,514,25,171,8,271,286
1057,8534,8265,70,18,52,0,17,112
1060,15284,13111,477,37,780,4,428,447
1062,11150,10058,224,41,290,9,244,284
1063,430,299,28,1,71,0,9,22
1066,64,64,0,0,0,0,0,0
1068,1902,1856,12,0,8,1,5,20
1069,8469,8097,105,14,78,0,41,134
1070,629,605,14,1,4,0,2,3
1071,1596,1558,13,3,5,0,2,15
1072,1478,1357,30,10,16,0,8,57
1073,5792,5638,22,5,33,0,25,69
1074,319,314,0,2,2,0,0,1
1075,17527,15783,393,23,706,9,223,390
1077,9502,9157,85,24,77,3,37,119
1079,692,659,3,4,1,0,0,25
1080,2334,2224,26,5,25,0,18,36
1081,1698,1640,17,4,3,0,8,26
1082,10322,9726,109,30,74,0,137,246
1083,2888,2796,22,2,7,1,12,48
1084,176,170,0,0,0,1,2,3
1085,41117,38164,648,107,530,10,902,756
1086,687,643,15,2,7,0,7,13
1088,670,647,12,0,2,0,0,9
1089,28391,24508,939,65,1253,14,960,652
1092,1394,1345,4,6,10,1,6,22
1093,325,319,3,0,0,0,0,3
1094,351,343,1,1,0,0,1,5
1095,14319,13464,309,10,286,1,77,172
1096,2217,2162,4,2,7,0,16,26
1097,111,109,0,0,0,0,0,2
1098,1101,1071,1,0,10,0,0,19
1103,2479,1191,450,24,63,1,624,126
1104,22865,12987,3107,180,347,14,5101,1129
1105,12350,4643,2909,142,127,9,3894,626
1106,16021,14798,179,5,759,3,76,201
1107,11611,4975,1329,98,58,16,4408,727
1108,26688,13278,5122,161,1596,24,5249,1258
1109,30250,10179,13140,205,340,31,4814,1541
1118,14071,10473,1990,25,527,10,566,480
1119,14152,8926,3050,77,243,11,1297,548
1128,2631,2144,267,4,81,4,68,63
1129,7019,4912,1215,30,193,3,407,259
1151,8698,5407,1482,41,139,5,1182,442
1199,0,0,0,0,0,0,0,0
1201,46504,41224,2378,94,562,7,882,1357
1220,8603,8344,56,15,42,2,19,125
1222,829,799,14,1,0,0,5,10
1223,2314,2250,11,5,8,0,19,21
1224,182,170,1,0,8,0,0,3
1225,3117,3049,15,5,12,0,7,29
1226,6945,6725,49,3,54,1,37,76
1229,95,93,1,0,0,0,0,1
1230,8430,7770,206,27,126,2,122,177
1235,2766,2704,17,7,9,0,4,25
1236,1509,1425,15,1,12,0,13,43
1237,2496,2409,42,1,11,1,9,23
1238,6047,5716,62,10,100,1,96,62
1240,4534,4295,61,8,64,2,34,70
1242,476,457,0,0,8,0,4,7
1243,334,331,0,0,1,0,1,1
1244,151,150,0,0,0,0,0,1
1245,985,963,14,0,1,0,4,3
1247,16087,15083,319,45,108,8,152,372
1253,731,710,0,3,4,0,4,10
1254,972,953,3,2,6,0,3,5
1255,915,882,8,1,7,2,3,12
1256,692,649,13,4,2,0,0,24
1257,2121,2018,20,5,11,0,36,31
1258,374,363,4,0,2,0,1,4
1259,635,619,1,0,7,0,4,4
1260,240,232,6,0,1,0,0,1
1262,1238,1185,10,1,16,0,12,14
1264,137,135,0,1,1,0,0,0
1266,1463,1414,13,0,18,0,9,9
1267,7989,7009,225,9,401,4,77,264
1270,778,744,6,2,5,0,1,20
1301,17700,16358,297,61,247,5,284,448
1330,1506,1450,5,8,8,0,0,35
1331,13263,12661,133,29,93,0,119,228
1337,2596,2541,4,4,10,0,7,30
1338,187,184,0,0,0,0,0,3
1339,1438,1389,3,7,13,0,1,25
1340,1701,1641,8,1,13,0,5,33
1341,1833,1768,3,7,11,2,3,39
1342,1492,1410,20,0,23,1,4,34
1343,75,73,0,0,0,0,0,2
1344,1498,1455,5,1,4,0,7,26
1346,533,516,3,1,0,0,1,12
1347,166,154,1,1,2,0,0,8
1349,1091,1044,6,6,10,0,7,18
1350,121,115,3,0,3,0,0,0
1351,2270,2136,14,3,24,0,35,58
1354,1500,1449,13,3,19,0,2,14
1355,878,851,2,2,8,0,5,10
1360,3032,2944,13,6,9,0,18,42
1364,7969,7578,81,31,87,1,56,135
1366,1277,1256,2,1,5,0,3,10
1367,522,510,4,2,0,0,1,5
1368,1261,1222,7,9,9,0,4,10
1370,4084,3934,17,9,40,0,10,74
1373,4600,4392,30,3,81,1,27,66
1375,3684,3208,106,15,190,1,64,100
1376,5247,4815,81,19,31,2,135,164
1378,774,756,0,4,7,0,0,7
1379,813,776,15,7,6,0,4,5
1420,40337,31545,2049,134,1465,13,3657,1474
1430,6089,5818,59,8,71,2,38,93
1431,3074,2986,12,5,10,1,11,49
1432,7089,6038,332,19,264,16,172,248
1434,1795,1376,351,0,48,0,14,6
1436,3336,3228,28,4,19,0,9,48
1438,559,543,3,0,0,0,11,2
1440,20347,18612,570,64,293,10,349,449
1450,10646,10111,46,7,294,1,36,151
1451,4747,4439,20,3,164,3,9,109
1452,4382,4270,26,2,21,0,17,46
1453,40883,34297,2062,72,1127,23,2153,1149
1460,8924,8328,54,10,352,0,18,162
1462,10086,9600,90,17,157,0,67,155
1463,11497,11082,60,20,134,2,41,158
1464,7211,6213,579,16,201,6,70,126
1467,316,294,0,1,11,0,0,10
1468,4021,3886,25,6,23,0,10,71
1469,6801,6570,40,15,64,0,30,82
1473,7277,7007,65,14,73,0,36,82
1474,2125,2054,16,3,11,0,5,36
1475,10270,9642,154,17,190,0,95,172
1501,16075,15260,176,23,298,3,94,221
1503,2866,2752,19,9,40,0,10,36
1504,9026,8704,82,22,71,3,28,116
1505,4355,4061,30,9,159,0,29,67
1506,3390,3299,10,5,7,0,4,65
1507,12981,12488,90,23,120,9,68,183
1510,13606,11845,470,47,182,5,746,311
1515,2183,2121,11,5,6,0,7,33
1516,8500,8210,45,15,76,3,19,132
1518,2974,2814,19,15,41,0,37,48
1519,6595,6160,56,1,253,0,41,84
1520,13997,13137,163,11,438,2,64,182
1521,2481,2404,15,11,11,0,10,30
1522,3310,3144,21,0,79,0,32,34
1523,7582,6644,514,5,133,0,173,113
1524,6696,6283,97,19,127,1,60,109
1525,290,287,0,0,2,0,1,0
1527,13246,12482,177,26,248,9,90,214
1529,3190,3105,15,7,29,0,4,30
1531,999,974,4,4,6,0,1,10
1532,14155,12405,142,16,1158,3,132,299
1534,5631,5408,31,12,60,0,25,95
1535,4680,4544,16,19,13,3,9,76
1536,6888,6163,190,9,371,0,41,114
1537,2248,2166,14,1,21,1,15,30
1540,11291,10743,121,18,121,2,133,153
1541,3413,3318,16,2,40,0,1,36
1542,2202,2080,25,12,22,0,42,21
1543,7973,7625,92,6,126,1,35,88
1545,35299,28028,634,32,5437,5,525,638
1550,16719,13580,431,88,310,3,1823,484
1560,4527,3543,57,16,755,2,44,110
1561,330,177,108,2,4,0,26,13
1562,11688,11249,74,26,84,8,102,145
1564,7808,7571,55,14,68,5,23,72
1566,6294,6002,37,10,143,0,33,69
1568,7480,7130,57,12,162,1,19,99
1569,13569,13039,115,19,140,2,62,192
1570,16767,15293,482,50,184,0,392,366
1571,11390,10876,136,16,95,1,103,163
1581,18272,14143,273,30,3188,4,286,348
1583,7591,7053,340,17,63,2,66,50
1585,4554,4414,32,10,24,0,13,61
1588,9733,9330,77,11,97,1,80,137
1590,8875,8603,39,12,84,8,20,109
1602,22819,18446,1852,50,1056,3,704,708
1603,19916,12548,2272,119,2105,11,2060,801
1604,34677,24770,3896,95,2070,30,2458,1358
1605,26221,16438,4425,124,1196,3,2762,1273
1606,19077,15705,1576,56,709,5,486,540
1607,8351,5480,1517,32,437,1,588,296
1608,3888,2041,653,50,211,0,737,196
1609,22421,16467,1984,85,1370,16,1812,687
1610,23945,14078,2877,144,1875,16,3597,1358
1611,2242,1999,114,2,32,6,38,51
1612,4845,4590,110,4,62,1,16,62
1701,31217,26072,1196,48,1996,8,1150,747
1702,37206,23124,2804,157,2352,39,6304,2426
1718,469,309,2,2,138,0,2,16
1719,4996,4023,24,2,814,1,32,100
1720,21361,16564,231,16,3920,3,261,366
1721,16593,13978,391,23,1452,3,437,309
1730,13221,11358,297,19,1249,7,51,240
1731,1396,1058,151,9,45,3,38,92
1740,4897,4649,23,7,130,1,8,79
1741,4852,4330,20,1,381,1,22,97
1742,17726,15898,677,14,718,0,170,249
1745,397,357,1,0,24,0,7,8
1746,13547,12825,118,13,337,2,105,147
1747,5911,5640,37,5,101,1,48,79
1748,14925,13902,123,11,655,0,55,179
1749,19063,17474,289,27,431,0,442,400
1752,38499,31147,1061,91,1933,25,2960,1282
1754,10106,9365,170,13,275,1,132,150
1756,5839,5674,22,2,57,2,28,54
1757,28061,24451,611,69,681,6,1470,773
1760,32786,28637,682,42,2370,10,385,660
