Zip Code,Confirmed Cases,ZIP,PlaceName,BINGE,CSMOKING,LPA,OBESITY,SLEEP,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,ACCESS2,CHECKUP,DENTAL,BPMED,CHOLSCREEN,MAMMOUSE,PAPTEST,COLON_SCREEN,COREM,COREW,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop,COVID_perc,white_perc,black_perc,native_perc,asian_perc,hawaii_perc,other_perc,two_plus_perc
94130,39,94130,"San Francisco, CA",22.301356049730646,20.097948540151073,21.99791376964516,24.999200278363976,36.49885257330483,11.00034770505914,10.099235048869891,20.300556328094626,2.300382475565054,20.901008344671503,2.199895688482258,4.399582753929032,2.700069541011828,6.299965229494085,17.797705146609676,11.598956884822579,18.696592490420425,1.8999304589881718,15.797878999139247,60.20076495113011,48.706189150052694,50.10219054187258,64.804450624757,81.70041724607097,82.00104311517742,52.00427677222742,23.50260778794355,20.403372739073657,2880.0,1011.0,724.0,37.0,525.0,28.0,260.0,295.0,0.013541666666666667,0.35104166666666664,0.2513888888888889,0.012847222222222222,0.18229166666666666,0.009722222222222222,0.09027777777777778,0.10243055555555555
94158,102,94158,"San Francisco, CA",25.014368931840835,10.196251582998041,12.990628957495103,15.407184465920418,29.892815534079574,9.90249894466797,7.200624736166992,16.398750527666014,3.4012494723339857,21.500312368083495,1.4996876319165033,2.1996876319165035,2.0990628957495105,4.597188687248531,9.197813423415523,6.198750527666014,4.79468974258056,1.1993752638330069,7.1934402702465725,61.9990628957495,75.12124102967775,55.389691853244614,77.91343182759034,81.7078092020874,84.01561840417482,70.11093288292237,36.116555508425314,34.311869987172855,4792.0,2280.0,177.0,21.0,1939.0,16.0,112.0,247.0,0.021285475792988316,0.4757929883138564,0.036936560934891484,0.004382303839732888,0.40463272120200333,0.00333889816360601,0.02337228714524207,0.05154424040066778
94107,380,94107,"San Francisco, CA",24.220189623462332,10.934771938671084,14.719180317806696,18.834587892820014,29.15023122155887,14.876086129589353,7.750690206543113,22.64948440328487,5.041688194459682,26.589585727166593,2.273159223262332,3.4072674798442106,3.7505790923796476,7.051803085561149,9.699597428869247,8.362983056017928,6.652906186979869,2.0692186007092497,7.614763367691308,64.97369881642307,73.81750410008016,61.770194204933475,81.48203218461806,81.85247656127162,86.0030546413412,69.82973443774387,35.83233637415522,32.777939808567005,26599.0,15753.0,1792.0,113.0,6447.0,154.0,1098.0,1242.0,0.014286251362833189,0.5922403097860822,0.06737095379525546,0.0042482800105267116,0.24237753298996204,0.005789691341779766,0.041279747358923265,0.04669348471747058
94105,94,94105,"San Francisco, CA",25.799999999999997,9.2,12.0,16.2,29.3,11.0,7.099999999999999,17.2,3.7999999999999994,22.7,1.6,2.3,2.2,4.5,8.7,6.2,4.8,1.2,6.1,62.5,76.6,56.699999999999996,80.1,82.2,85.0,71.5,38.3,36.4,5846.0,3313.0,131.0,18.0,2038.0,19.0,75.0,252.0,0.016079370509750255,0.5667122819021553,0.02240848443380089,0.003079028395484092,0.34861443722203217,0.003250085528566541,0.012829284981183716,0.04310639753677729
94134,961,94134,"San Francisco, CA",15.103788560777849,13.926066351306197,23.13950406676649,17.927599242837154,34.945970454317994,17.884535849359327,7.82217953854821,29.640440841816137,5.101614169187498,32.72977129919721,3.172719549539254,4.583114889241816,5.296648072443853,12.699528373000783,11.371217974224175,12.030176442898258,12.802422211460845,3.172290810673972,14.505528909376336,69.50953510936705,59.35355508696773,72.34750220004024,79.88549331478185,77.37791516287164,76.33058921664961,58.628221515831356,27.140426812747535,25.89323502385781,40798.0,6620.0,3903.0,198.0,23007.0,640.0,4761.0,1669.0,0.023555076229226923,0.16226285602235405,0.09566645423795284,0.004853179077405755,0.5639247021912839,0.015687043482523654,0.11669689690671112,0.04090886808176871
94124,"1,431",94124,"San Francisco, CA",16.29080820579243,17.221481876195526,25.008908662263945,25.478145179291,37.102462209236556,19.190519032335413,9.801961756923527,32.619916208499475,4.736081903962735,31.197691058293465,3.469102085890512,5.632269832288077,5.402024439891487,13.108396397544098,14.21000807392839,13.809385606109307,17.608363259971693,3.753768191183095,15.923336895846909,69.76377846866367,54.53575638249383,71.31418184695832,78.16113661552366,80.55644800360552,80.82322768134553,57.91053408190004,24.251594848099312,23.08601161885722,33996.0,4102.0,11456.0,239.0,10430.0,897.0,5126.0,1746.0,0.042093187433815744,0.12066125426520767,0.3369808212730909,0.007030238851629603,0.30680080009412874,0.02638545711260148,0.15078244499352866,0.05135898340981292
94103,617,94103,"San Francisco, CA",22.11312643068198,14.186924800779884,18.62944580869102,21.577585028998357,32.01599665887088,16.039364228765987,7.972173496336045,26.305130020282302,4.769432997229274,29.11438493185768,2.7151670877302205,4.335953887613024,4.713484331576761,9.34961673265065,11.536338218342822,10.663343416633097,10.66551548472435,2.6030295885899113,11.162472728046156,64.77750844946175,63.21860588000208,65.12002141338498,78.57256339735301,80.15732089016767,83.21218739489815,62.329689202495885,29.318727692099245,26.522150703429396,27170.0,12796.0,2980.0,440.0,6966.0,106.0,2411.0,1471.0,0.02270887007729113,0.4709606183290394,0.1096797938903202,0.016194331983805668,0.2563857195436143,0.0039013617960986383,0.08873757821126242,0.0541405962458594
94104,,94104,"San Francisco, CA",18.0,14.3,20.0,18.2,32.5,17.6,8.0,28.5,5.2,32.5,2.9,4.9,5.4,11.0,11.499999999999998,11.499999999999998,10.7,3.0,11.3,67.3,63.7,71.0,79.2,77.7,77.99999999999999,61.5,29.800000000000004,28.0,406.0,140.0,12.0,2.0,226.0,0.0,20.0,6.0,,0.3448275862068966,0.029556650246305417,0.0049261083743842365,0.5566502463054187,0.0,0.04926108374384237,0.014778325123152709
94133,153,94133,"San Francisco, CA",17.622852955598304,12.686213671649458,20.321223271276793,15.852711438991875,31.36772935366455,18.71725583219698,7.6866301002251065,29.02056854940771,6.023865176204593,33.370473919468445,3.112858403044091,4.75367820737757,5.825068440924412,11.606070299709717,10.465823655589922,11.197974694754544,11.446639927332072,3.202320255395306,10.410284013904267,68.72735892562649,63.32500132933676,73.42732187687058,80.63316388799721,77.76268078770951,78.54733843484595,62.444608233798334,30.23300124191324,27.219583869908735,26237.0,10863.0,579.0,36.0,13577.0,43.0,444.0,695.0,0.005831459389411899,0.41403361664824484,0.02206807180699013,0.0013721080916263293,0.5174753211114076,0.0016389068872203376,0.016922666463391394,0.026489308991119412
94108,92,94108,"San Francisco, CA",15.70306238513614,13.828337737332932,23.25726151661119,15.755807335386788,32.908455834172166,19.10934962961678,7.694162628082371,30.681089411109948,5.646708568300001,34.30747229835959,3.4907670006790035,5.273724766407135,6.617045645512332,13.612859712103251,11.24388391990566,12.672341463661644,13.775921850665686,3.7205373302047215,12.255269506485211,68.88410511991809,58.570016399554376,73.22567700020149,79.10081580726509,76.96480218647633,75.55348868991945,58.47172943426816,27.992182280127576,25.498016486039944,13768.0,4860.0,256.0,25.0,7961.0,23.0,269.0,374.0,0.006682161533991865,0.35299244625217896,0.018593840790238233,0.0018158047646717025,0.578224869262057,0.0016705403834979663,0.01953805926786752,0.02716443927948867
