TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
12086006714,"Miami, FL",1756,12086006714,17.8,9.9,22,24.3,28.1,15.1,6.4,22.5,5.3,28.4,2.5,3.7,4.3,8.1,9.8,8.7,5.6,2,18.9,71.7,76.4,70.8,83.6,85.4,86,62.3,31.2,28
12086006801,"Miami, FL",2837,12086006801,19.3,10.3,19,22.8,28.2,17.3,6.4,23.9,6.2,30.7,2.3,4.3,4.5,7.2,9.1,8.3,6.1,2,14,73.1,78.3,72.4,86.3,85,85,65.6,34.6,32
12086006802,"Miami, FL",3681,12086006802,13.9,9.1,23,22.8,26.1,23.9,6.4,32.2,9.2,37.2,3.4,5.8,7.2,10.6,8.5,10.3,6.4,3.2,14.4,78.3,78.9,80.5,89.5,83.9,84,66.2,34,29.3
12086006900,"Miami, FL",5780,12086006900,14.8,13.7,32,29,31,19.9,6.5,30.6,6.1,34.6,3.7,5.7,7,13.6,11.8,13.2,10.9,3.3,30.7,74.1,64.6,75.8,83.6,83.3,83,54,24.5,21.5
12086007001,"Miami, FL",8883,12086007001,15.9,14.8,33,29.3,31.8,17.4,6.6,27.9,5.2,32.3,3.4,5.3,6.1,12.6,12.5,13,11.8,2.9,33.8,72,61.6,72.7,80.8,83.6,82,51.4,23.1,20.5
12086007002,"Miami, FL",6998,12086007002,15.3,15.1,34,30.4,32.5,17.9,6.7,28.6,5.1,32.9,3.5,5.5,6.3,13.1,13,13.6,13.2,3,34.5,72.1,59.3,73.2,80.8,83.8,82,49.8,22.3,19.5
12086007101,"Miami, FL",2403,12086007101,14.5,17.7,33,32.4,36.2,21.7,8.4,35.1,6,32.6,3.9,7.2,7.1,13.6,13.7,13.7,18.5,4.4,25.1,76.4,56.8,77.7,81.7,84.4,83,54.7,21.6,19.5
12086007103,"Miami, FL",1592,12086007103,21.9,11.1,19,22.6,28.7,13.5,6.5,19.7,4.7,25.8,1.9,3.6,3.5,5.8,9.9,7.5,5.8,1.6,15.2,69.7,78.5,66.2,82.2,85.8,85,64.9,35.3,31.9
12086007104,"Miami, FL",2920,12086007104,22.1,13.2,21,24.1,30.6,12.8,6.7,19.3,4.1,25,1.9,3.6,3.2,6,10.9,8.1,6.3,1.6,18,68.9,74,63.6,80.8,85,85,61.1,31,27.8
12086007200,"Miami, FL",2096,12086007200,13.3,22.8,36,37.6,40.8,23.6,10.1,40,5.3,32.9,4.1,9.2,7.4,15.3,16.4,16.1,24.9,5.4,26,78.7,52,78.4,80.9,86.1,83,51.6,19.5,19.8
12086007300,"Miami, FL",3817,12086007300,17.3,11.1,21,24.2,27.8,20.4,6.8,27.3,7.1,33.9,2.6,5.4,5.5,8.5,9.6,9.7,6.1,2.5,13.3,74.7,79.4,75.7,87.3,85.1,85,65.9,34.6,32.9
12086490100,"Miami, FL",1659,12086490100,14.5,15.2,37,31.2,33.1,20.1,6.7,32,5.7,35.7,4,6.2,7.7,15.6,13,15.1,15.5,3.6,38.8,73.4,55,75.6,81.7,83,81,48,20.5,18.3
