TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
25025120104,"Boston, MA",2095,25025120104,24.7,12.5,18,22.4,32,15,10,18.8,4.6,26.2,2,3.4,2.8,5.9,11.6,8.1,8.2,1.6,6.1,70.7,76.8,66.2,79.4,85.7,89,68.3,32,31.9
25025120105,"Boston, MA",2444,25025120105,18.1,9.9,18,20.1,29.2,25.7,9.5,29,9.4,36.7,2.9,5.2,5.6,8.9,9.3,9.6,8.1,2.8,4.5,78.7,81.4,80.1,87.5,84.4,87,74.6,34.9,34.8
25025120201,"Boston, MA",3439,25025120201,24.5,15.1,20,24.5,34.3,15.5,10.5,20.9,4.5,26.7,2.2,4,3.2,7.1,13.1,9.3,12.2,1.9,8.3,70.9,69.9,67.3,77.2,85.3,87,65.1,27.3,28.1
25025120301,"Boston, MA",4795,25025120301,24,13.6,21,24.6,33.4,15.6,10.1,21.8,4.5,27.5,2.3,3.8,3.3,8,12.2,9.3,10.8,2,9.3,71.9,73.3,69,78.8,86.2,88,67,27.2,29.2
25025120400,"Boston, MA",5751,25025120400,24.8,11,16,21,30.7,16.9,9.7,20.7,5.7,28.4,2.1,3.5,3.3,6.3,10.5,7.8,7.2,1.8,5.1,72.3,79.9,70.7,81.6,85.3,88,72.2,32.9,33.9
25025120500,"Boston, MA",2331,25025120500,24.1,12.8,21,24.2,33.7,13.7,9.6,19.9,4,26.3,2.2,3.2,3.1,7.9,12.2,8.8,11.4,1.7,10.1,70.8,68.8,66.2,77.2,85.6,87,61.6,25,24.7
25025120600,"Boston, MA",2335,25025120600,28.6,10.7,14,19.5,30.6,12.2,9.8,15.1,4.1,22.7,1.5,2.6,2,4.2,10.6,6.3,6,1.1,5.1,69.2,80.7,61.1,78.7,85.6,89,71.5,34.6,34.7
25025120700,"Boston, MA",2014,25025120700,24.5,11.8,18,21,31.3,15.9,9.5,20.6,5.3,27.4,2.2,3.6,3.5,6.6,10.9,8.1,9,1.9,6.8,71.7,77,69.9,79,84.8,87,71.2,32.7,32.6
25025130100,"Boston, MA",5906,25025130100,22.6,12,18,20.2,30.2,21,9.7,24.1,7.4,32.4,2.4,4.6,4.3,7.3,10.3,9,7.6,2.2,5.5,74.8,81.2,74.7,84.3,83.9,87,73.7,36,37.1
25025130200,"Boston, MA",4506,25025130200,22,12.1,18,21.4,30.1,22.7,9.7,25.9,7.9,34.1,2.6,5,4.8,7.9,10.5,9.6,8.5,2.5,5.1,75.3,80,76.2,84.9,83.7,87,72.3,34.8,35.2
25025130300,"Boston, MA",4419,25025130300,21.7,12.4,19,21.6,30.3,22.8,9.8,26.1,7.9,34.1,2.6,5.1,4.8,8.1,10.6,9.7,8.2,2.5,5.4,75.6,80.5,76.1,85.2,83.8,87,72.5,34.8,35.6
25025130402,"Boston, MA",4637,25025130402,21,14.4,22,22.4,32.4,23.6,9.9,27.7,7.9,34.7,2.8,5.8,5.5,9,11.4,10.8,12.1,2.8,6.6,75.4,74.8,76.8,83.7,82.1,85,69.3,32.2,33.1
25025130404,"Boston, MA",2901,25025130404,18.9,13.8,23,22.1,31.5,26.2,10.2,30.3,9.1,35.8,3.3,6.6,6.4,10,11.5,11.8,12.1,3.4,7.9,77.1,75.5,79.1,84,82.8,85,69,32,30.8
25025130406,"Boston, MA",5107,25025130406,17.7,19.2,29,29.9,37.2,23.3,12.2,31.4,6.3,33,3.5,7.2,6,11.8,15.5,14.1,16.5,3.7,12.1,76.4,67,75.5,79.6,83.8,87,65,27.9,28.3
25025140102,"Boston, MA",4401,25025140102,21.3,15.8,23,26.8,36.5,21.5,11.2,28.9,6.3,31.7,2.8,5.4,4.7,9.9,12.6,11.1,13.3,2.9,9.1,76.9,71.6,74.8,82.6,83.9,87,67.7,29.1,31.1
25025140105,"Boston, MA",3675,25025140105,21.5,15.1,23,26.6,36.1,20.8,11.2,27.5,6,31,2.7,5.2,4.5,9.6,12.8,11,12.8,2.7,9.5,76.3,71.9,73.8,82.1,84.5,87,67,29.4,30.5
25025140106,"Boston, MA",1901,25025140106,17.5,19.4,31,32.8,39.5,23.1,12.5,33.2,5.7,32.8,3.6,6.7,5.6,13.6,15.7,14.3,20.2,3.9,13.7,77.4,61.3,76.5,79.8,84.5,87,61.3,23.8,24.9
25025140107,"Boston, MA",2531,25025140107,20.3,14.8,24,27,35.7,22,11.1,29.3,6.5,32.5,2.9,5.5,4.9,10.5,12.4,11.3,13.3,2.9,9.4,77.2,71.7,75.7,83.1,84.2,87,67.8,29.9,30.9
25025140201,"Boston, MA",2072,25025140201,21.7,17.4,24,27.1,36.2,21.7,11.3,28.1,6.2,31.9,2.8,5.9,4.9,9.7,13.6,11.7,12.5,2.9,9.4,75.3,72.6,73.9,81,83.1,86,69.4,30.8,32.7
25025140202,"Boston, MA",5600,25025140202,20.4,16.2,24,27.3,36.4,22.8,11.3,29.8,6.6,33,3,6,5.1,10.5,13.1,11.9,15.3,3.1,9.3,76.8,69.3,75.8,82.5,84.1,87,66.1,27.9,29.3
25025140300,"Boston, MA",6382,25025140300,17.9,18.5,29,32.2,39.7,24,12.1,34.9,6.1,33.7,3.6,6.8,6,13.7,14.6,13.9,19.4,4,12,78.5,62.5,77.6,81.5,84.8,87,63.3,23.7,25.4
25025140400,"Boston, MA",7650,25025140400,18.3,17.3,27,31.8,41,23.5,12.7,35.4,5.9,32.3,3.3,6,5.1,13.3,13.5,12.5,17.7,3.8,10.8,80.5,65.1,78,83.3,86,87,67.1,23.3,27.1
25025980101,"Boston, MA",535,25025980101,17.1,35.2,44,46.8,47.2,25.3,11.8,43,4.1,39,5,11.9,10.1,21.4,22.5,23.9,42.9,6.4,19.2,72,33.4,76.3,73.5,83.2,86,38.7,14,
25025980300,"Boston, MA",338,25025980300,16.5,40.1,47,45.2,46.6,29.1,12.9,44.8,4.9,42.3,5.6,15.5,12.2,22.7,24.9,27.7,47.7,7.5,22.1,71.6,30.1,77.2,71.2,81.4,83,38,13.9,14.4
25025981100,"Boston, MA",418,25025981100,24.9,24.2,29,33.8,43.5,15.9,11,27.7,3.3,27.5,2.5,5.2,3.7,9.8,15.7,12.5,20.8,2.6,14.7,72,54.8,64.3,75.9,85.3,87,54.8,16.1,22.4
25025981202,"Boston, MA",207,25025981202,44.1,15.3,15,17.1,32,4.1,7.9,8.5,1.2,12,0.8,1.7,0.8,1.6,12.2,4.7,,0.5,9.7,61.3,73.4,24,61.2,,80,,,
25025981300,"Boston, MA",389,25025981300,29.6,12.9,16,21.3,32.9,11.2,8.9,15.6,3.5,22.9,1.5,2.7,2.2,4.4,10.8,6.9,7.8,1.2,6.5,67.3,76,56.7,77.7,85.5,88,68.5,31.7,34.1
25025981800,"Boston, MA",82,25025981800,13.7,4.3,14,17,25.5,29,8.6,32.7,13,41.2,3.1,4,6.1,9.2,6,7.4,6.3,2.7,2.4,84.2,84.7,85,92.9,85,87,80.5,38.5,38.5
