TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
17031271200,"Chicago, IL",1170,17031271200,15.8,29.6,40,46.1,46.2,26.1,12.8,44.2,4.8,31.1,4.6,10.4,7.5,17,18.5,18.1,32.1,5.9,23.3,74.3,37.9,75,80.9,80.9,87,49.2,22.1,16.8
17031271300,"Chicago, IL",1045,17031271300,14.7,29.4,41,47.5,46.2,26.2,13.1,44.6,4.6,30.8,4.8,10.6,7.5,17.6,19.6,18.6,32.5,6.2,22.5,74.8,37.7,75.4,79.7,80.8,87,48.3,19.6,16.4
17031271400,"Chicago, IL",1527,17031271400,15.7,27.2,38,45.7,45.4,25.7,12.6,43.6,4.7,30.7,4.5,9.8,7,16.8,17.8,17.2,28.6,5.7,20.8,74.7,42.1,75.5,81.3,81.4,88,51.7,22.6,19
17031271500,"Chicago, IL",1397,17031271500,14.9,27.7,39,47.7,46.4,27.2,12.6,46.2,4.8,32.1,4.8,10.3,7.4,18.3,18.1,18.1,30.9,6,20.2,75.6,38.7,77.2,82.4,81.6,87,48.3,19.6,17.2
17031271800,"Chicago, IL",970,17031271800,13.2,33.8,47,52.5,48.1,28.1,12.9,49.1,4.5,33.3,5.6,12.7,9.1,21,21.6,21.7,40.5,7.5,25,74.6,30.3,77.2,78.6,81.5,87,43.3,18.5,14.2
17031280100,"Chicago, IL",4872,17031280100,31.4,9,12,19.7,29.1,9.5,6.9,13.6,3.1,18.2,1.2,1.9,1.5,2.9,7.8,4.6,3.4,0.8,6.3,60.2,79,52.3,82.6,80.6,89,69.4,44,37.7
17031280400,"Chicago, IL",1366,17031280400,15.3,28.7,39,45.5,45.9,23.5,13,39.4,4,28.7,4.3,9.6,5.8,15.1,20.1,17.6,33.7,5,21.6,71.8,36.9,72.9,78.2,81.5,86,45.3,18.2,16.6
17031280800,"Chicago, IL",755,17031280800,14.9,22.9,36,43.2,43,28.2,11.8,46.2,6,33.3,5,9.8,9,18.7,15.7,16.4,27.3,6.5,19.2,76.6,43.7,79.6,83.2,81.4,87,55.8,21.7,18.5
17031280900,"Chicago, IL",942,17031280900,16.2,27.1,36,44.5,45.6,21.4,12.9,37,3.7,26.3,3.8,8.3,4.9,13.1,19.1,15.9,28.1,4.3,20.4,72,40.3,69.6,78.4,82,88,49.2,19.6,17
17031281900,"Chicago, IL",4844,17031281900,27.4,9.5,14,18.8,30.6,8.3,7,13.5,2.5,17,1.2,2,1.5,3.2,8.7,4.8,4.5,0.9,7.9,60.5,73.9,51.6,78.9,81.4,85,66,39.4,32.3
