TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
48201430900,"Houston, TX",5770,48201430900,16.5,8.7,20,24,27.2,23.9,6.8,32.1,8.9,40.3,2.9,4.5,5.9,9.7,8,9,6,2.7,10.6,73.8,78.1,79.3,88.9,77.5,83,71.6,39.5,40.8
48201431000,"Houston, TX",5239,48201431000,18.2,10.2,20,25.6,27.9,23.5,7.1,31.8,8.6,39.3,2.9,4.8,6.1,9.6,8.8,9.4,6.9,2.7,12.5,72.4,76,77.9,87.5,77.2,84,70.8,38.6,40
48201431101,"Houston, TX",3303,48201431101,19.9,10.4,21,27.7,31.1,19.1,7.3,28.4,6.7,33.8,2.6,4,4.9,8.6,9.4,8.6,8.4,2.4,15.6,70.5,70.2,73,83.8,77.2,84,68.3,36.9,37.3
48201431102,"Houston, TX",3336,48201431102,19.3,14.8,26,29.3,33.4,18.9,7.8,28.8,5.9,32.6,2.9,5,5.4,9.1,12,10.6,13.6,2.9,21,68.2,61.1,71.3,78.1,76.8,82,61.9,32.2,30.1
48201431201,"Houston, TX",4058,48201431201,20.3,14,26,28,33,16.3,7.5,26,5.3,29.7,2.7,4.3,5,8.1,12,9.7,13.4,2.6,22.5,66.6,61.6,68.2,76,78.2,82,60.4,32.1,28.9
48201431202,"Houston, TX",4592,48201431202,21.1,13.6,23,27.3,31.1,16,7.3,25.1,5,30.8,2.4,4.1,4.3,7.8,11.2,9,8,2.2,19.6,66.5,70,68.2,77.9,77.4,83,68.8,36.5,37.7
48201431301,"Houston, TX",4516,48201431301,24.4,13.1,21,26.9,32.2,13.2,7.4,21.3,4.1,27.2,1.9,3.2,3.1,6.3,11,7.9,9.6,1.6,19.8,64.6,66.6,62.7,77.6,77.6,83,64.6,34.1,35.6
48201431302,"Houston, TX",3929,48201431302,22.4,9.5,17,24.4,28.4,18.5,6.8,25.6,6.8,34.1,2.2,3.5,4.1,7,8.4,7.5,6.1,1.9,11.2,69.2,77.2,72.4,86.1,78.5,85,71.6,39.3,41.4
48201431401,"Houston, TX",2339,48201431401,23.1,14.1,22,27.6,31.8,15.2,7.4,23.1,4.7,29.6,2.2,3.8,3.6,7,11.4,8.8,9.4,1.9,18.9,64.7,66.8,65.8,78,78.5,83,65.6,35.2,35
48201431402,"Houston, TX",3209,48201431402,23.7,9.9,17,23.9,29.6,14.3,7,21.1,4.9,29.2,1.8,2.8,3,5.8,9.1,6.8,5.3,1.5,12.5,66.2,76.4,66.5,82.2,78.6,84,70.3,39.1,41.9
48201431501,"Houston, TX",3711,48201431501,20.3,8.5,18,23.4,27.4,20,6.8,27,7.7,35.2,2.4,3.5,4.5,7.5,8,7.6,5.2,2.1,10.9,70.7,78.5,75.2,86.5,78.5,85,72.3,39.6,39.8
48201431502,"Houston, TX",3471,48201431502,20.9,8.8,17,23.5,26.7,19.8,6.9,26.9,7.4,35.6,2.3,3.7,4.6,7.4,8.2,7.7,5,2.1,10.9,70.1,79.9,74.8,86.1,78.7,85,73.2,40.9,42.6
