Zip Code,Confirmed Cases
61490,12
61491,27
61501,13
61517,56
61520,130
61523,195
61525,259
61526,11
61528,55
61529,34
61530,50
61531,34
61533,32
61534,25
61535,31
61536,44
61537,51
61540,13
61542,62
61545,12
61546,29
61547,68
61548,213
61550,377
61554,727
61559,41
61561,13
61564,15
61565,10
61567,10
61568,90
61569,11
61570,7
61571,372
61572,11
61602,42
61603,392
61604,703
61605,317
61606,257
61607,204
61610,79
61611,428
61614,628
61615,466
61616,135
61625,52
61701,633
61704,640
61705,211
61723,19
61724,9
61725,16
61726,33
61727,151
61729,21
61732,32
61733,11
61734,37
61735,6
61736,26
61738,64
61739,53
61740,27
61741,26
61742,14
61744,17
61745,49
61747,12
61748,39
61749,6
61752,54
61753,26
61754,10
61755,57
61756,27
61759,13
61760,27
61761,"1,866"
61764,205
61770,11
61771,8
61774,9
61776,16
61777,12
61790,62
61801,525
61802,392
61811,8
61813,23
61814,18
61817,82
61818,22
61820,"2,533"
61821,526
61822,410
61832,661
61833,39
61834,176
61841,22
61842,30
61843,41
61844,15
61845,9
61846,59
61847,16
61849,16
61850,6
61853,208
61854,20
61856,84
61858,63
61859,17
61863,16
61864,28
61865,25
61866,389
61870,15
61871,8
61872,7
61873,109
61874,138
61875,10
61876,18
61877,29
61878,19
61880,80
61882,8
61883,78
61884,10
61910,191
61911,86
61912,24
61913,24
61914,31
61919,8
61920,864
61924,7
61925,19
61928,21
61929,8
61930,12
61931,29
61933,13
61937,18
61938,663
61942,14
61943,37
61944,105
61951,205
61953,115
61956,31
61957,42
62001,32
62002,944
62009,21
62010,283
62012,134
62014,57
62015,9
62016,29
62017,32
62018,75
62019,6
62021,17
62022,24
62024,182
62025,837
62026,6
62028,9
62031,10
62032,12
62033,120
62034,330
62035,530
62036,10
62037,39
62040,"1,000"
62044,16
62045,7
62046,20
62047,19
62048,24
62049,171
62050,6
62051,12
62052,285
62053,12
62054,11
62056,145
62059,18
62060,136
62061,39
62062,149
62063,7
62067,64
62069,47
62074,16
62075,44
62080,46
62082,52
62084,39
62086,21
62087,31
62088,141
62089,9
62090,34
62091,9
62092,133
62093,6
62094,17
62095,219
62097,57
62201,260
62203,239
62204,166
62205,223
62206,505
62207,262
62208,481
62214,22
62215,64
62216,145
62217,22
62218,91
62219,38
62220,644
62221,762
62223,509
62225,33
62226,868
62230,296
62231,287
62232,215
62233,400
62234,831
62236,312
62237,70
62238,15
62239,132
62240,39
62241,28
62242,30
62243,122
62244,11
62245,73
62246,257
62248,8
62249,410
62250,12
62253,12
62254,283
62255,21
62257,39
62258,208
62259,6
62260,163
62262,41
62263,123
62264,108
62265,160
62266,6
62268,16
62269,664
62271,35
62272,70
62273,6
62274,169
62275,99
62277,21
62278,170
62281,76
62282,15
62284,9
62285,140
62286,184
62288,120
62289,7
62292,9
62293,124
62294,286
62295,34
62297,6
62298,435
62301,708
62305,453
62311,23
62312,32
62314,11
62316,19
62320,47
62321,42
62324,15
62325,11
62326,24
62330,28
62338,27
62339,42
62340,17
62341,43
62343,14
62347,21
62349,12
62351,28
62353,67
62354,13
62356,6
62358,6
62359,7
62360,17
62363,87
62365,8
62366,20
62367,8
62370,7
62376,30
62378,6
62379,39
62401,557
62410,6
62411,88
62413,7
62414,55
62417,107
62418,70
62420,114
62421,6
62422,21
62423,9
62424,82
62425,10
62426,10
62427,25
62428,52
62431,16
62432,11
62433,6
62434,7
62436,10
62438,7
62439,136
62440,23
62441,75
62442,34
62443,34
62444,14
62445,23
62446,6
62447,94
62448,167
62449,57
62450,251
62451,20
62452,9
62454,488
62458,99
62460,14
62461,19
62462,38
62463,38
62465,28
62466,33
62467,155
62468,50
62469,10
62471,250
62473,46
62474,12
62476,19
62479,25
62480,10
62501,40
62510,25
62512,8
62513,18
62515,13
62518,8
62520,8
62521,830
62522,290
62526,712
62530,15
62531,16
62533,11
62534,16
62535,87
62536,8
62538,10
62539,20
62540,21
62543,9
62544,20
62545,12
62546,28
62547,9
62548,34
62549,144
62550,65
62551,16
62553,10
62554,25
62557,143
62558,37
62560,31
62561,64
62563,124
62565,212
62567,9
62568,466
62571,23
62573,30
62611,14
62612,21
62613,37
62615,95
62617,15
62618,286
62621,19
62625,19
62626,96
62627,38
62628,8
62629,199
62630,9
62633,14
62634,6
62635,13
62638,14
62640,24
62642,16
62643,8
62644,94
62650,665
62655,13
62656,398
62661,10
62664,43
62665,12
62666,9
62668,20
62670,54
62671,9
62673,6
62674,16
62675,85
62677,37
62681,55
62682,12
62684,146
62685,19
62688,7
62689,7
62690,33
62691,93
62692,19
62693,17
62694,56
62695,14
62701,12
62702,490
62703,457
62704,584
62707,189
62711,347
62712,208
62801,506
62803,8
62806,46
62807,17
62808,22
62810,24
62812,236
62814,30
62816,13
62817,6
62819,7
62821,125
62822,35
62823,28
62824,15
62827,16
62828,23
62830,17
62832,128
62835,17
62836,14
62837,250
62838,50
62839,134
62841,7
62842,20
62844,37
62846,27
62848,19
62849,28
62851,11
62853,22
62854,40
62858,72
62859,59
62860,10
62863,172
62864,583
62865,59
62868,22
62869,38
62870,61
62871,9
62872,28
62874,13
62875,45
62878,6
62880,21
62881,187
62882,71
62883,10
62884,52
62885,11
62886,9
62888,33
62889,10
62890,55
62891,8
62892,6
62893,22
62894,21
62895,62
62896,233
62897,14
62898,46
62899,23
62901,739
62902,76
62903,52
62905,18
62906,396
62907,57
62908,16
62910,23
62912,28
62914,38
62915,24
62916,19
62917,60
62918,272
62919,17
62920,120
62921,6
62922,50
62923,9
62924,57
62926,49
62930,104
62931,15
62932,13
62933,45
62934,33
62935,41
62938,23
62939,61
62940,12
62941,15
62942,8
62943,11
62946,244
62948,382
62949,10
62950,7
62951,94
62952,85
62954,9
62956,17
62957,11
62958,25
62959,615
62960,94
62963,14
62964,32
62966,365
62967,9
62969,7
62970,12
62972,19
62974,28
62976,11
62977,15
62979,10
62982,13
62983,34
62984,38
62985,21
62987,10
62988,29
62990,18
62992,109
62994,14
62995,142
62996,11
62997,13
62999,25
